Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,NO,N/A,56.99%,48.13%,101.86%,41.28%,93.6,0.3127,0.9455,0.142,0.514,0.798,0.25
2,0.98,0.97,NO,N/A,42.43%,41.16%,90.85%,35.8%,80.79,0.1922,0.5855,0.085,0.363,0.88,0.487
3,0.83,0.58,YES,3.46e-02,34.63%,37.37%,53.37%,30.49%,55.64,0.154,0.2725,0.062,0.165,0.914,0.761
4*,0.82,0.59,YES,Most Stab Sigs,26.94%,30.93%,52.7%,27.23%,47.71,0.1237,0.2789,0.041,0.119,0.942,0.836
5,0.78,0.54,NO,N/A,23.03%,27.27%,53.53%,23.56%,48.56,0.102,0.2866,0.032,0.123,0.955,0.832
6,0.64,-0.23,NO,N/A,21.19%,24.56%,50.73%,21.42%,46.06,0.0875,0.2492,0.027,0.109,0.962,0.85
7,0.55,-0.25,NO,N/A,18.98%,22.53%,49.31%,18.52%,45.81,0.0836,0.2215,0.023,0.11,0.968,0.848
8,0.43,-0.48,NO,N/A,17.72%,22.07%,43.86%,17.25%,44.07,0.0802,0.203,0.021,0.101,0.971,0.861
9,0.38,-0.52,NO,N/A,16.68%,19.96%,47.86%,15.61%,46.08,0.0717,0.2264,0.018,0.112,0.974,0.844
10,0.3,-0.48,NO,N/A,16.41%,19.93%,41.53%,16.26%,40.04,0.0712,0.1955,0.017,0.077,0.977,0.9
